,species,Longitude (degrees),lat,AMT,max temp,Tmin,AMP,Clay,Country,,,,,,,,  
281,Euphorbia helioscopia,146.9,-37.9167,138,259,30,674,10,,,,,,,,,
282,Festuca arundinacea,146.75,-37.9,131,256,23,823,10.22999954,,,,,,,,,
283,Fumaria muralis,144.1167,-37.8833,129,248,39,664,19.12000084,,,,,,,,,
284,Fumaria muralis,145.05,-37.8833,147,260,58,749,3,,,,,,,,,
285,Festuca arundinacea,175.93237,-37.870277,121,224,27,2246,4.159999847,,,,,,,,,
286,Fumaria muralis,144.7667,-37.8667,147,256,55,580,46.20000076,,,,,,,,,
287,Festuca arundinacea,145.1667,-37.8667,144,261,53,859,10.43999958,,,,,,,,,
288,Festuca arundinacea,141.0167,-37.85,136,244,53,767,3,,,,,,,,,
289,Fumaria muralis,144.25,-37.85,135,250,43,604,11,,,,,,,,,
290,Euphorbia helioscopia,144.8833,-37.85,148,259,56,611,55,,,,,,,,,
291,Fumaria muralis,145.2167,-37.85,144,261,53,859,10.43999958,,,,,,,,,
292,Festuca arundinacea,148.1047,-37.8486,145,247,49,766,11,,,,,,,,,
293,Ficus carica,145.038889,-37.846944,147,260,58,749,3,,,,,,,,,
294,Fumaria muralis,145.3667,-37.8333,136,260,43,1042,23,,,,,,,,,
295,Festuca arundinacea,140.778333,-37.825556,136,245,53,719,3,,,,,,,,,
296,Fumaria muralis,141.015833,-37.825278,136,250,51,750,5.239999771,,,,,,,,,
297,Fumaria muralis,145.35,-37.82,136,260,43,1042,23,,,,,,,,,
298,Festuca arundinacea,141.3833,-37.8167,135,253,48,762,3.799999952,,,,,,,,,
299,Euphorbia helioscopia,144.9667,-37.8167,148,262,56,656,36.77319717,,,,,,,,,
300,Fumaria muralis,144.9667,-37.8167,148,262,56,656,36.77319717,,,,,,,,,
301,Fumaria muralis,145.0667,-37.8167,147,263,56,719,7.159999847,,,,,,,,,
302,Fumaria muralis,145.2333,-37.8167,143,263,50,862,11,,,,,,,,,
303,Lycium barbarum,140.8,-37.8,136,245,53,719,3,,,,,,,,,
304,Festuca arundinacea,144.9,-37.8,147,260,55,608,55,,,,,,,,,
305,Fumaria muralis,145.2667,-37.8,142,263,48,909,15.56000042,,,,,,,,,
306,Fumaria muralis,148.3833,-37.8,145,249,48,858,13.71428585,,,,,,,,,
307,Ficus carica,145,-37.7953,147,263,56,719,7.159999847,,,,,,,,,
308,Festuca arundinacea,143.1167,-37.7833,131,262,37,581,10,,,,,,,,,
309,Festuca arundinacea,176.37584,-37.78183,144,241,49,1457,4,,,,,,,,,
310,Festuca arundinacea,144.7667,-37.7667,145,258,52,578,54.56000137,,,,,,,,,
311,Festuca arundinacea,145.0833,-37.7667,147,263,56,719,7.159999847,,,,,,,,,
312,Fumaria muralis,146.6833,-37.7667,127,256,20,943,11,,,,,,,,,
313,Euphorbia helioscopia,144.875,-37.75,147,260,55,608,55,,,,,,,,,
314,Euphorbia helioscopia,145.268,-37.7472,143,267,47,843,11,,,,,,,,,
315,Fumaria muralis,143.6167,-37.7333,125,254,32,692,10.72999954,,,,,,,,,
316,Festuca arundinacea,144.8333,-37.7167,144,261,50,572,31.68000031,,,,,,,,,
317,Festuca arundinacea,140.633333,-37.716667,136,247,52,785,3,,,,,,,,,
318,Festuca arundinacea,141.4,-37.7,136,259,46,732,3,,,,,,,,,
319,Fumaria muralis,145.4,-37.7,144,269,47,842,11.84000015,,,,,,,,,
320,Festuca arundinacea,145.8,-37.7,121,253,24,1434,23,,,,,,,,,
